name,province,region,English,French,both,either,neither,total,engperc,frenperc
"Division No.  4, Subd. D",pr10,Atlantic,830,25,25,830,0,830,100,3.012048193
Gallants,pr10,Atlantic,55,0,0,55,0,55,100,0
Stephenville Crossing,pr10,Atlantic,1765,45,45,1765,5,1770,99.71751412,2.542372881
Stephenville,pr10,Atlantic,6665,390,390,6665,5,6670,99.92503748,5.847076462
Kippens,pr10,Atlantic,1785,130,130,1785,0,1785,100,7.282913165
Port au Port East,pr10,Atlantic,600,30,30,600,0,600,100,5
"Division No.  4, Subd. E",pr10,Atlantic,1975,285,280,1980,0,1980,99.74747475,14.39393939
Cape St. George,pr10,Atlantic,940,265,260,945,0,945,99.47089947,28.04232804
Lourdes,pr10,Atlantic,535,20,20,535,0,535,100,3.738317757
Port au Port West-Aguathuna-Felix Cove,pr10,Atlantic,440,20,20,440,0,440,100,4.545454545
"Division No.  5, Subd. A",pr10,Atlantic,235,0,0,235,0,235,100,0
"Division No.  5, Subd. G",pr10,Atlantic,465,10,10,465,0,465,100,2.150537634
Deer Lake,pr10,Atlantic,4920,85,85,4920,0,4920,100,1.727642276
Jackson s Arm,pr10,Atlantic,320,0,0,320,0,320,100,0
Howley,pr10,Atlantic,220,5,5,220,0,220,100,2.272727273
"Division No.  5, Subd. E",pr10,Atlantic,185,5,5,185,0,185,100,2.702702703
Hampden,pr10,Atlantic,460,5,5,460,0,460,100,1.086956522
Reidville,pr10,Atlantic,470,0,0,470,0,470,100,0
"Division No.  5, Subd. F",pr10,Atlantic,635,50,50,635,0,635,100,7.874015748
Steady Brook,pr10,Atlantic,405,30,30,405,0,405,100,7.407407407
Pasadena,pr10,Atlantic,3350,80,80,3350,5,3355,99.8509687,2.384500745
Cormack,pr10,Atlantic,605,5,5,605,0,605,100,0.826446281
Gillams,pr10,Atlantic,405,15,15,405,0,405,100,3.703703704
"Division No. 5, Subd. C SNO",pr10,Atlantic,105,5,5,105,0,105,100,4.761904762
Massey Drive,pr10,Atlantic,1410,60,60,1410,0,1410,100,4.255319149
Corner Brook,pr10,Atlantic,19535,930,930,19535,10,19545,99.94883602,4.758250192
Humber Arm South,pr10,Atlantic,1680,15,15,1680,0,1680,100,0.892857143
McIvers,pr10,Atlantic,550,5,5,550,0,550,100,0.909090909
Cox s Cove,pr10,Atlantic,660,5,5,660,0,660,100,0.757575758
Lark Harbour,pr10,Atlantic,495,10,10,495,0,495,100,2.02020202
Meadows,pr10,Atlantic,600,20,20,600,0,600,100,3.333333333
Hughes Brook,pr10,Atlantic,230,5,5,230,0,230,100,2.173913043
Irishtown-Summerside,pr10,Atlantic,1425,30,30,1425,0,1425,100,2.105263158
Mount Moriah,pr10,Atlantic,790,10,10,790,0,790,100,1.265822785
York Harbour,pr10,Atlantic,350,5,5,350,0,350,100,1.428571429
"Division No.  6, Subd. D",pr10,Atlantic,290,10,10,290,0,290,100,3.448275862
Norris Arm,pr10,Atlantic,915,15,15,915,0,915,100,1.639344262
"Division No.  6, Subd. E",pr10,Atlantic,215,5,5,215,0,215,100,2.325581395
Gander,pr10,Atlantic,10935,720,720,10935,10,10945,99.90863408,6.578346277
Appleton,pr10,Atlantic,615,15,15,615,0,615,100,2.43902439
Glenwood,pr10,Atlantic,790,15,15,790,0,790,100,1.898734177
"Division No.  6, Subd. C",pr10,Atlantic,450,10,10,450,0,450,100,2.222222222
Northern Arm,pr10,Atlantic,400,5,5,400,0,400,100,1.25
Grand Falls-Windsor,pr10,Atlantic,13645,540,540,13645,20,13665,99.85364069,3.951701427
Bishop s Falls,pr10,Atlantic,3330,50,50,3330,0,3330,100,1.501501502
Peterview,pr10,Atlantic,805,0,0,805,0,805,100,0
Botwood,pr10,Atlantic,2930,25,25,2930,0,2930,100,0.853242321
Badger,pr10,Atlantic,790,5,5,790,5,795,99.37106918,0.628930818
Millertown,pr10,Atlantic,100,0,0,100,0,100,100,0
"Division No.  6, Subd. A",pr10,Atlantic,95,0,0,95,0,95,100,0
Buchans,pr10,Atlantic,695,15,15,695,5,700,99.28571429,2.142857143
"Division No.  7, Subd. M",pr10,Atlantic,2060,30,30,2060,0,2060,100,1.45631068
"Division No.  7, Subd. L",pr10,Atlantic,1265,20,20,1265,0,1265,100,1.581027668
"Division No.  7, Subd. K",pr10,Atlantic,1220,15,15,1220,0,1220,100,1.229508197
Clarenville,pr10,Atlantic,5900,250,250,5900,5,5905,99.91532599,4.233700254
"Division No.  7, Subd. J",pr10,Atlantic,500,10,10,500,0,500,100,2
Trinity (Trinity Bay),pr10,Atlantic,140,5,5,140,0,140,100,3.571428571
Port Rexton,pr10,Atlantic,340,5,5,340,0,340,100,1.470588235
"Division No.  7, Subd. I",pr10,Atlantic,105,5,5,105,0,105,100,4.761904762
Elliston,pr10,Atlantic,335,5,5,335,0,335,100,1.492537313
Trinity Bay North,pr10,Atlantic,1825,15,15,1825,0,1825,100,0.821917808
Bonavista,pr10,Atlantic,3510,65,65,3510,5,3515,99.85775249,1.849217639
"Division No.  7, Subd. G",pr10,Atlantic,395,5,5,395,0,395,100,1.265822785
Keels,pr10,Atlantic,65,0,0,65,0,65,100,0
Duntara,pr10,Atlantic,50,5,5,50,0,50,100,10
King s Cove,pr10,Atlantic,115,0,0,115,0,115,100,0
"Division No.  7, Subd. F",pr10,Atlantic,970,10,10,970,0,970,100,1.030927835
"Division No.  7, Subd. E",pr10,Atlantic,2705,20,20,2705,5,2710,99.81549815,0.73800738
Musgravetown,pr10,Atlantic,560,20,20,560,0,560,100,3.571428571
Port Blandford,pr10,Atlantic,485,5,5,485,0,485,100,1.030927835
Traytown,pr10,Atlantic,275,5,5,275,0,275,100,1.818181818
"Division No.  7, Subd. D",pr10,Atlantic,230,0,0,230,0,230,100,0
Savage Cove-Sandy Cove,pr10,Atlantic,130,0,0,130,0,130,100,0
Terra Nova,pr10,Atlantic,80,0,0,80,0,80,100,0
Happy Adventure,pr10,Atlantic,220,5,5,220,0,220,100,2.272727273
Eastport,pr10,Atlantic,480,10,10,480,0,480,100,2.083333333
Sandringham,pr10,Atlantic,280,5,5,280,0,280,100,1.785714286
Glovertown,pr10,Atlantic,2050,35,35,2050,0,2050,100,1.707317073
Salvage,pr10,Atlantic,135,5,5,135,0,135,100,3.703703704
Gambo,pr10,Atlantic,1985,25,25,1985,0,1985,100,1.259445844
St. Brendan s,pr10,Atlantic,150,5,5,150,0,150,100,3.333333333
Hare Bay,pr10,Atlantic,1030,0,0,1030,0,1030,100,0
Centreville-Wareham-Trinity,pr10,Atlantic,1165,15,15,1165,0,1165,100,1.287553648
Greenspond,pr10,Atlantic,300,0,0,300,0,300,100,0
"Division No.  7, Subd. A",pr10,Atlantic,145,0,0,145,0,145,100,0
Dover,pr10,Atlantic,675,5,5,675,0,675,100,0.740740741
New-Wes-Valley,pr10,Atlantic,2220,10,10,2220,5,2225,99.7752809,0.449438202
Indian Bay,pr10,Atlantic,175,0,0,175,0,175,100,0
"Division No.  8, Subd. M",pr10,Atlantic,165,0,0,165,0,165,100,0
Lumsden,pr10,Atlantic,545,5,5,545,0,545,100,0.917431193
Musgrave Harbour,pr10,Atlantic,1020,5,5,1020,0,1020,100,0.490196078
"Division No.  8, Subd. L",pr10,Atlantic,3090,30,30,3090,0,3090,100,0.970873786
Carmanville,pr10,Atlantic,725,5,5,725,0,725,100,0.689655172
Fogo Island Region,pr10,Atlantic,415,0,0,415,0,415,100,0
Fogo,pr10,Atlantic,665,10,10,665,0,665,100,1.503759398
Joe Batt s Arm-Barr d Islands-Shoal Bay,pr10,Atlantic,685,5,5,685,0,685,100,0.729927007
Tilting,pr10,Atlantic,200,5,5,200,0,200,100,2.5
Change Islands,pr10,Atlantic,255,5,5,255,0,255,100,1.960784314
Seldom-Little Seldom,pr10,Atlantic,435,10,10,435,0,435,100,2.298850575
"Division No.  8, Subd. I",pr10,Atlantic,210,5,5,210,0,210,100,2.380952381
Crow Head,pr10,Atlantic,200,0,0,200,0,200,100,0
"Division No.  8, Subd. H",pr10,Atlantic,2040,15,15,2040,0,2040,100,0.735294118
Cottlesville,pr10,Atlantic,270,5,5,270,0,270,100,1.851851852
Summerford,pr10,Atlantic,855,5,5,855,0,855,100,0.584795322
Twillingate,pr10,Atlantic,2230,25,25,2230,5,2235,99.77628635,1.118568233
"Division No.  8, Subd. G",pr10,Atlantic,450,10,10,450,0,450,100,2.222222222
Campbellton,pr10,Atlantic,520,10,10,520,0,520,100,1.923076923
Birchy Bay,pr10,Atlantic,560,5,5,560,0,560,100,0.892857143
Comfort Cove-Newstead,pr10,Atlantic,455,5,5,455,0,455,100,1.098901099
Baytona,pr10,Atlantic,260,0,0,260,0,260,100,0
"Division No.  8, Subd. F",pr10,Atlantic,865,10,10,865,0,865,100,1.156069364
Embree,pr10,Atlantic,675,10,10,675,0,675,100,1.481481481
Lewisporte,pr10,Atlantic,3395,65,65,3395,0,3395,100,1.914580265
Little Burnt Bay,pr10,Atlantic,295,0,0,295,0,295,100,0
"Division No.  8, Subd. E",pr10,Atlantic,540,15,10,545,0,545,99.08256881,2.752293578
Point of Bay,pr10,Atlantic,155,0,0,155,0,155,100,0
Leading Tickles,pr10,Atlantic,325,0,0,325,0,325,100,0
Point Leamington,pr10,Atlantic,620,5,5,620,0,620,100,0.806451613
Pilley s Island,pr10,Atlantic,300,0,0,300,0,300,100,0
Triton,pr10,Atlantic,1000,15,15,1000,0,1000,100,1.5
Brighton,pr10,Atlantic,175,0,0,175,0,175,100,0
Lushes Bight-Beaumont-Beaumont North,pr10,Atlantic,220,5,5,220,0,220,100,2.272727273
"Division No.  8, Subd. C",pr10,Atlantic,530,5,5,530,0,530,100,0.943396226
South Brook,pr10,Atlantic,485,5,5,485,0,485,100,1.030927835
Robert s Arm,pr10,Atlantic,805,5,5,805,0,805,100,0.621118012
Springdale,pr10,Atlantic,2745,40,40,2745,10,2755,99.63702359,1.451905626
Port Anson,pr10,Atlantic,165,0,0,165,0,165,100,0
Little Bay,pr10,Atlantic,110,0,0,110,0,110,100,0
Little Bay Islands,pr10,Atlantic,95,0,0,95,0,95,100,0
"Division No.  8, Subd. P",pr10,Atlantic,340,0,0,340,0,340,100,0
Beachside,pr10,Atlantic,150,0,0,150,0,150,100,0
"Division No.  8, Subd. O",pr10,Atlantic,330,5,5,330,0,330,100,1.515151515
King s Point,pr10,Atlantic,670,5,5,670,0,670,100,0.746268657
Nippers Harbour,pr10,Atlantic,125,0,0,125,0,125,100,0
Burlington,pr10,Atlantic,355,5,5,355,0,355,100,1.408450704
Middle Arm,pr10,Atlantic,480,5,5,480,0,480,100,1.041666667
"Division No.  8, Subd. A",pr10,Atlantic,350,0,0,350,0,350,100,0
Fleur de Lys,pr10,Atlantic,260,0,0,260,0,260,100,0
LaScie,pr10,Atlantic,895,5,5,895,0,895,100,0.558659218
Brent s Cove,pr10,Atlantic,185,5,5,185,0,185,100,2.702702703
Pacquet,pr10,Atlantic,185,0,0,185,0,185,100,0
Baie Verte,pr10,Atlantic,1305,20,20,1305,5,1310,99.61832061,1.526717557
Seal Cove (White Bay),pr10,Atlantic,305,0,0,305,0,305,100,0
Coachman s Cove,pr10,Atlantic,90,0,0,90,0,90,100,0
Westport,pr10,Atlantic,220,0,0,220,0,220,100,0
Ming s Bight,pr10,Atlantic,335,0,0,335,0,335,100,0
Woodstock,pr10,Atlantic,190,0,0,190,0,190,100,0
Miles Cove,pr10,Atlantic,135,0,0,135,0,135,100,0
"Division No.  9, Subd. F",pr10,Atlantic,75,0,0,75,0,75,100,0
Englee,pr10,Atlantic,585,5,5,585,0,585,100,0.854700855
Roddickton-Bide Arm,pr10,Atlantic,1035,5,5,1035,0,1035,100,0.483091787
Conche,pr10,Atlantic,180,0,0,180,0,180,100,0
"Division No.  9, Subd. A",pr10,Atlantic,115,0,0,115,0,115,100,0
Trout River,pr10,Atlantic,580,10,10,580,0,580,100,1.724137931
"Woody Point, Bonne Bay",pr10,Atlantic,285,10,10,285,0,285,100,3.50877193
Norris Point,pr10,Atlantic,675,30,30,675,0,675,100,4.444444444
Rocky Harbour,pr10,Atlantic,985,40,40,985,0,985,100,4.060913706
Daniel s Harbour,pr10,Atlantic,265,0,0,265,0,265,100,0
Cow Head,pr10,Atlantic,475,5,5,475,0,475,100,1.052631579
Parson s Pond,pr10,Atlantic,480,5,5,480,0,480,100,1.041666667
Hawke s Bay,pr10,Atlantic,340,5,5,340,0,340,100,1.470588235
Port Saunders,pr10,Atlantic,675,5,5,675,5,680,99.26470588,0.735294118
St. Pauls,pr10,Atlantic,255,0,0,255,0,255,100,0
"Division No.  9, Subd. C",pr10,Atlantic,2730,15,15,2730,0,2730,100,0.549450549
Port au Choix,pr10,Atlantic,840,15,15,840,0,840,100,1.785714286
Anchor Point,pr10,Atlantic,325,0,0,325,0,325,100,0
Flower s Cove,pr10,Atlantic,275,0,0,275,0,275,100,0
Bird Cove,pr10,Atlantic,180,0,0,180,0,180,100,0
Main Brook,pr10,Atlantic,265,0,0,265,0,265,100,0
St. Anthony,pr10,Atlantic,2320,40,40,2320,0,2320,100,1.724137931
Glenburnie-Birchy Head-Shoal Brook,pr10,Atlantic,260,5,5,260,0,260,100,1.923076923
"Division No.  9, Subd. D",pr10,Atlantic,815,5,5,815,0,815,100,0.613496933
St. Lunaire-Griquet,pr10,Atlantic,660,5,5,660,0,660,100,0.757575758
Cook s Harbour,pr10,Atlantic,75,0,0,75,0,75,100,0
Raleigh,pr10,Atlantic,195,0,0,195,0,195,100,0
Goose Cove East,pr10,Atlantic,210,5,5,210,0,210,100,2.380952381
"Division No.  9, Subd. H",pr10,Atlantic,85,0,0,85,0,85,100,0
Bellburns,pr10,Atlantic,65,0,0,65,0,65,100,0
"Division No.  9, Subd. G",pr10,Atlantic,45,0,0,45,0,45,100,0
River of Ponds,pr10,Atlantic,225,0,0,225,0,225,100,0
"Division No. 10, Subd. A SNO",pr10,Atlantic,50,0,0,50,0,50,100,0
L Anse au Loup,pr10,Atlantic,550,15,15,550,0,550,100,2.727272727
Red Bay,pr10,Atlantic,190,5,5,190,0,190,100,2.631578947
L Anse-au-Clair,pr10,Atlantic,190,20,20,190,0,190,100,10.52631579
Forteau,pr10,Atlantic,405,15,15,405,0,405,100,3.703703704
West St. Modeste,pr10,Atlantic,120,0,0,120,0,120,100,0
Pinware,pr10,Atlantic,105,0,0,105,0,105,100,0
"Division No. 10, Subd. B",pr10,Atlantic,350,5,5,350,0,350,100,1.428571429
Port Hope Simpson,pr10,Atlantic,445,5,5,445,0,445,100,1.123595506
St. Lewis,pr10,Atlantic,205,5,5,205,0,205,100,2.43902439
Mary s Harbour,pr10,Atlantic,365,0,0,365,0,365,100,0
"Cartwright, Labrador",pr10,Atlantic,515,0,0,515,0,515,100,0
Charlottetown (Labrador),pr10,Atlantic,305,0,0,305,0,305,100,0
"Division No. 10, Subd. C",pr10,Atlantic,55,0,0,55,0,55,100,0
North West River,pr10,Atlantic,555,10,10,555,0,555,100,1.801801802
Happy Valley-Goose Bay,pr10,Atlantic,7455,430,425,7460,5,7465,99.86604153,5.760214334
"Division No. 10, Subd. D",pr10,Atlantic,630,60,60,630,0,630,100,9.523809524
Labrador City,pr10,Atlantic,7315,845,805,7355,0,7355,99.45615228,11.48878314
Wabush,pr10,Atlantic,1855,170,170,1855,0,1855,100,9.164420485
Natuashish  2,pr10,Atlantic,865,10,10,865,70,935,92.51336898,1.069518717
Sheshatshiu 3,pr10,Atlantic,1225,40,35,1230,75,1305,93.8697318,3.0651341
